,province,city,county,communitys,level
131,吉林省,长春市,九台区,纪家街道坐山村,middle
132,吉林省,长春市,九台区,纪家街道纪家村,middle
133,吉林省,长春市,九台区,兴隆街道大荒地村,middle
134,吉林省,长春市,九台区,上河湾镇南甸子村,middle
135,吉林省,长春市,农安县,合隆镇万隆璟堂,middle
136,吉林省,长春市,榆树市,华昌街道富宇花园,middle
137,吉林省,长春市,榆树市,华昌街道图书馆家属楼,middle
138,吉林省,长春市,榆树市,城郊街道和泰府,middle
139,吉林省,长春市,榆树市,城郊街道富润家园,middle
140,吉林省,长春市,榆树市,环城乡东岭村小河屯,middle
141,吉林省,长春市,榆树市,大岭镇怀家蓝旗村,middle
142,吉林省,长春市,榆树市,大岭镇怀家民主村,middle
143,吉林省,长春市,榆树市,闵家镇西北地村,middle
144,吉林省,长春市,榆树市,闵家镇金家村,middle
145,吉林省,长春市,榆树市,新立镇太平村西甸子屯,middle
146,吉林省,长春市,榆树市,泗河镇韩家村,middle
147,吉林省,长春市,榆树市,黑林镇芦古村,middle
148,吉林省,长春市,榆树市,土桥镇十四户村,middle
149,吉林省,长春市,榆树市,向阳镇复兴村,middle
150,吉林省,长春市,榆树市,于家镇红旗村孙成岗屯,middle
151,吉林省,长春市,榆树市,于家镇万河村,middle
152,吉林省,长春市,榆树市,刘家镇永生村,middle
153,吉林省,长春市,德惠市,胜利街道龙德盛世城,middle
154,吉林省,长春市,德惠市,胜利街道吉成福园,middle
155,吉林省,长春市,德惠市,胜利街道壹号院,middle
156,吉林省,长春市,德惠市,建设街道盛世金城,middle
157,吉林省,长春市,德惠市,建设街道龙凤尚城,middle
158,吉林省,长春市,德惠市,建设街道博文雅苑,middle
159,吉林省,长春市,德惠市,建设街道龙凤翔城,middle
160,吉林省,长春市,德惠市,建设街道都会公馆,middle
161,吉林省,长春市,德惠市,万宝镇街道,middle
162,吉林省,长春市,德惠市,万宝镇万宝村,middle
163,吉林省,长春市,德惠市,万宝镇顺山村,middle
164,吉林省,长春市,德惠市,万宝镇广太村,middle
165,吉林省,长春市,公主岭市,河北街道金碧阁小区,middle
166,吉林省,长春市,公主岭市,范家屯镇十家子社区,middle
167,吉林省,长春市,公主岭市,环岭街道高家岗村,middle
168,吉林省,长春市,公主岭市,河北街道紫金公馆,middle
169,吉林省,长春市,公主岭市,响水镇刘小窝堡村,middle
170,吉林省,长春市,公主岭市,河北街道玛钢花园二期,middle
171,吉林省,长春市,净月区,永兴街道伟峰东域商业街工地,middle
172,吉林省,长春市,净月区,德容街道福临花园,middle
173,吉林省,长春市,净月区,德容街道福盛小区,middle
174,吉林省,长春市,净月区,德容街道亚泰华府,middle
175,吉林省,长春市,净月区,德容街道万科班芙花园,middle
176,吉林省,长春市,净月区,永兴街道康诗丹郡,middle
177,吉林省,长春市,净月区,德正街道保利香槟,middle
178,吉林省,长春市,净月区,德正街道潭泽东南明珠,middle
179,吉林省,长春市,净月区,德正街道东安枫景,middle
180,吉林省,长春市,汽车经济技术开发区,锦城街道44街区,middle
181,吉林省,长春市,汽车经济技术开发区,锦城街道47街区,middle
182,吉林省,长春市,汽车经济技术开发区,锦城街道中铁国际花园,middle
183,吉林省,长春市,汽车经济技术开发区,锦城街道恒大首府,middle
184,吉林省,长春市,经开区,兴隆山镇中海寰宇天下,middle
185,吉林省,长春市,经开区,会展街道北海丽景,middle
186,吉林省,长春市,经开区,世纪街道智诚学校,middle
187,吉林省,长春市,经开区,兴隆山镇金色家园,middle
188,吉林省,长春市,经开区,兴隆山镇吴中北国之春,middle
189,吉林省,长春市,经开区,东方广场街道恒大帝景一期,middle
190,吉林省,长春市,经开区,兴隆山镇分水村,middle
191,吉林省,长春市,长春新区,超越街道大禹褐石,middle
192,吉林省,长春市,长春新区,超越街道修正药业宿舍,middle
193,吉林省,长春市,长春新区,北湖街道北湖花园,middle
194,吉林省,长春市,长春新区,超越街道万龙丽水湾二期,middle
195,吉林省,长春市,长春新区,硅谷街道恒大雅苑,middle
196,吉林省,长春市,长春新区,北湖街道北湾新城四期,middle
197,吉林省,长春市,长春新区,超越街道恒盛豪庭,middle
198,吉林省,长春市,长春新区,硅谷街道昂展公园里,middle
199,吉林省,长春市,长春新区,飞跃街道新星宇之新观邸,middle
200,吉林省,吉林市,昌邑区,桦皮厂镇桦东村,middle
201,吉林省,吉林市,昌邑区,桦皮厂镇张相村,middle
202,吉林省,吉林市,昌邑区,两家子乡李屯村,middle
203,吉林省,吉林市,昌邑区,桦皮厂镇苏登河村四组,middle
204,吉林省,吉林市,昌邑区,桦皮厂镇漂洋村十二组,middle
205,吉林省,吉林市,昌邑区,桦皮厂镇永胜村十二组,middle
206,吉林省,吉林市,昌邑区,两家子乡两家子村二组,middle
207,吉林省,吉林市,昌邑区,哈达湾经济开发区神华万利城16栋3单元,middle
208,吉林省,吉林市,昌邑区,哈达湾街道汇丰家园小区15号楼2单元,middle
209,吉林省,吉林市,昌邑区,站前街道桃花源小区1号楼1单元,middle
210,吉林省,吉林市,昌邑区,民主街道运河里小区15号楼3单元,middle
211,吉林省,吉林市,昌邑区,莲花街道卢瓦尔小镇D38号楼,middle
212,吉林省,吉林市,昌邑区,莲花街道朝阳鸿祥苑15号楼3单元,middle
213,吉林省,吉林市,昌邑区,桦皮厂镇鳌龙河村,middle
214,吉林省,吉林市,昌邑区,桦皮厂镇东风村,middle
215,吉林省,吉林市,昌邑区,桦皮厂镇乐园村,middle
216,吉林省,吉林市,昌邑区,桦皮厂镇乔屯村,middle
217,吉林省,吉林市,昌邑区,桦皮厂镇庆祥村,middle
218,吉林省,吉林市,昌邑区,民主街道兴国胡同27号岔路乡公寓,middle
219,吉林省,吉林市,昌邑区,东局子街道嘉业花园小区1号楼5单元,middle
220,吉林省,吉林市,昌邑区,兴华街道兴田上城7号楼A座,middle
221,吉林省,吉林市,昌邑区,土城子乡聂司马村1组,middle
222,吉林省,吉林市,昌邑区,两家子乡盆窑村3组,middle
223,吉林省,吉林市,昌邑区,孤店子镇孤店子村,middle
224,吉林省,吉林市,昌邑区,哈达湾街道绿地福林小区10-3栋2单元,middle
225,吉林省,吉林市,昌邑区,桦皮厂镇平胜村,middle
226,吉林省,吉林市,昌邑区,莲花街道沈铁幸福里小区12号楼2单元,middle
227,吉林省,吉林市,昌邑区,左家镇小土门村5组,middle
228,吉林省,吉林市,昌邑区,左家镇王家岭村,middle
229,吉林省,吉林市,龙潭区,山前街道万兴家和小区1号楼2单元,middle
230,吉林省,吉林市,龙潭区,承德街道江山如画小区3号楼3单元,middle
231,吉林省,吉林市,船营区,致和街道森邻里小区23号楼4单元,middle
232,吉林省,吉林市,船营区,北极街道望云山景小区,middle
233,吉林省,吉林市,船营区,青岛街道庆丰小区12号楼5单元,middle
234,吉林省,吉林市,船营区,北山街道乐园一区17号楼,middle
235,吉林省,吉林市,船营区,北山街道乐园一区12号楼,middle
236,吉林省,吉林市,船营区,新北街道张久村6社,middle
237,吉林省,吉林市,丰满区,龙城帝景小区103栋,middle
238,吉林省,吉林市,丰满区,江南街道恒东花园小区1号楼2单元,middle
239,吉林省,吉林市,丰满区,泰山街道如一坊中央公园8号楼,middle
240,吉林省,吉林市,丰满区,前二道乡王相村5组,middle
241,吉林省,吉林市,丰满区,小白山乡大兰旗村4社,middle
242,吉林省,吉林市,丰满区,小白山乡鸡冠山村1社,middle
243,吉林省,吉林市,经开区,九站街道雾凇水岸小区,middle
244,吉林省,吉林市,永吉县,北大湖镇南沟村南沟家园小区,middle
245,吉林省,吉林市,磐石市,驿马镇滚马岭村样子沟屯,middle
246,黑龙江省,哈尔滨市,南岗区,南航花园B栋,middle
247,黑龙江省,哈尔滨市,南岗区,鲁商凤凰城3栋,middle
248,黑龙江省,哈尔滨市,南岗区,清滨路14号,middle
249,黑龙江省,哈尔滨市,南岗区,林家街10号（汉林美苑小区1号楼）,middle
250,黑龙江省,哈尔滨市,南岗区,哈达村,middle
251,黑龙江省,哈尔滨市,尚志市,亚布力镇,middle
252,黑龙江省,哈尔滨市,五常市,五常镇国税小区,middle
253,黑龙江省,哈尔滨市,五常市,营城子乡南土村,middle
254,黑龙江省,哈尔滨市,五常市,古榆村,middle
255,黑龙江省,佳木斯市,汤原县,阳光花园小区,middle
256,黑龙江省,佳木斯市,汤原县,清华C区6号楼,middle
257,黑龙江省,佳木斯市,汤原县,清华C区12号楼,middle
258,黑龙江省,佳木斯市,汤原县,学府新城10号楼,middle
259,黑龙江省,佳木斯市,汤原县,清华新城5号楼,middle
260,黑龙江省,佳木斯市,汤原县,清华新城12号楼,middle
261,黑龙江省,佳木斯市,汤原县,幸福家园3号楼,middle
262,黑龙江省,佳木斯市,汤原县,幸福家园4号楼,middle
263,黑龙江省,佳木斯市,汤原县,幸福家园8号楼,middle
264,黑龙江省,佳木斯市,汤原县,理想家园小区,middle
265,黑龙江省,佳木斯市,汤原县,宝祥名苑小区3号楼,middle
266,黑龙江省,佳木斯市,汤原县,汤原镇西凤鸣村,middle
267,上海市,上海市,黄浦区,打浦桥街道顺昌路612弄20号,middle
268,上海市,上海市,闵行区,梅陇镇许泾村八组,middle
269,上海市,上海市,闵行区,梅陇镇行南村三队,middle
270,上海市,上海市,闵行区,华漕镇许浦村三队,middle
271,上海市,上海市,嘉定区,马陆镇康年路261号工地宿舍,middle
272,上海市,上海市,嘉定区,江桥镇增建村柴中村民组,middle
273,上海市,上海市,浦东新区,日京路88号,middle
274,上海市,上海市,浦东新区,北蔡镇联勤村冯桥南宅,middle
275,上海市,上海市,浦东新区,北蔡镇鹏飞路411弄6号,middle
276,上海市,上海市,浦东新区,康桥镇苗桥路935弄19号,middle
277,上海市,上海市,浦东新区,北蔡镇御北路235号,middle
278,上海市,上海市,崇明区,长兴镇长明村21队,middle
279,上海市,上海市,崇明区,长兴镇新港村15队,middle
280,江苏省,南京市,秦淮区,洪武路街道现代大厦,middle
281,江苏省,南京市,秦淮区,洪武路街道砂珠巷小区6栋,middle
282,江苏省,南京市,秦淮区,朝天宫街道评事街小区千章巷22号,middle
283,江苏省,南京市,栖霞区,尧化街道下曹村99号、100号,middle
284,江苏省,徐州市,鼓楼区,荆南小区2号楼,middle
285,江苏省,徐州市,鼓楼区,荆南小区14号楼,middle
286,江苏省,徐州市,鼓楼区,华美东观园10号楼,middle
287,江苏省,徐州市,鼓楼区,中山北路336-6,middle
288,江苏省,徐州市,鼓楼区,山水路商业街A-1-24,middle
289,江苏省,徐州市,鼓楼区,环城街道朱庄小区25号楼,middle
290,江苏省,徐州市,鼓楼区,环城路坝子街60号弘辉大厦,middle
291,江苏省,徐州市,云龙区,翠屏山街道玉兰苑C1号楼,middle
292,江苏省,徐州市,贾汪区,汴塘镇孟省村,middle
293,江苏省,徐州市,贾汪区,朱古村,middle
294,江苏省,徐州市,泉山区,永安街道煤建路169小区7号楼,middle
295,江苏省,徐州市,泉山区,余二菜馆（矿南小区24号楼西侧平房）,middle
296,江苏省,徐州市,睢宁县,景湖小区一期4号楼,middle
297,江苏省,徐州市,睢宁县,李岳小区18号楼,middle
298,安徽省,芜湖市,繁昌区,新城华府小区1号楼,middle
299,安徽省,芜湖市,繁昌区,阳光花园C区14栋,middle
300,安徽省,芜湖市,繁昌区,栖霞小区31栋,middle
301,安徽省,芜湖市,繁昌区,新港镇建华建材职工宿舍5栋,middle
302,安徽省,淮南市,凤台县,李冲回族乡民族村,middle
303,安徽省,淮南市,凤台县,李冲回族乡李冲村,middle
304,安徽省,淮南市,凤台县,刘集镇淝北村,middle
305,安徽省,阜阳市,颍上县,谢桥镇全域,middle
306,福建省,莆田市,城厢区,霞林街道荔园东路1411号下黄小区35号楼4梯,middle
307,福建省,莆田市,涵江区,三江口镇杨芳村东曾90号,middle
308,福建省,莆田市,仙游县,赖店镇土山村赖营西路252号,middle
309,福建省,泉州市,鲤城区,临江街道伍堡社区,middle
310,福建省,泉州市,鲤城区,开元街道梅峰社区,middle
311,福建省,泉州市,鲤城区,海滨街道T淘园北至芳草嘉园、南至泉州市市政工程管理处、东至新华南路、西至芳草园公园,middle
312,福建省,泉州市,鲤城区,鲤中街道百源社区北至龙宫巷、南至后城街、东至侨乡商品街、西至小菜巷,middle
313,福建省,泉州市,鲤城区,鲤中街道和平社区北至东街、南至玉犀巷、西至中山中路、东至观东巷区域,middle
314,福建省,泉州市,丰泽区,丰泽街道丰泽新村88号,middle
315,福建省,泉州市,丰泽区,城东街道美仙山二期20栋,middle
316,福建省,泉州市,丰泽区,毓才花苑二期6栋、13栋,middle
317,福建省,泉州市,丰泽区,丰泽街道东淮社区,middle
318,福建省,泉州市,丰泽区,丰泽街道丰泽社区,middle
319,福建省,泉州市,丰泽区,丰泽街道迎津社区,middle
320,福建省,泉州市,丰泽区,华大街道华城社区,middle
321,福建省,泉州市,丰泽区,泉秀街道华丰社区,middle
322,福建省,泉州市,丰泽区,城东街道金屿社区,middle
323,福建省,泉州市,丰泽区,城东街道通海社区,middle
324,福建省,泉州市,丰泽区,城东街道通源社区,middle
325,福建省,泉州市,丰泽区,城东街道西福社区,middle
326,福建省,泉州市,丰泽区,城东街道霞美社区,middle
327,福建省,泉州市,丰泽区,城东街道新前社区,middle
328,福建省,泉州市,丰泽区,城东街道庄任社区,middle
329,福建省,泉州市,丰泽区,东海街道宝山社区,middle
330,福建省,泉州市,丰泽区,东湖街道铭湖社区,middle
331,福建省,泉州市,丰泽区,丰泽街道前坂社区,middle
332,福建省,泉州市,丰泽区,丰泽街道东涂社区,middle
333,福建省,泉州市,丰泽区,丰泽街道源淮社区,middle
334,福建省,泉州市,丰泽区,清源街道西宝社区,middle
335,福建省,泉州市,丰泽区,泉秀街道灯洲社区,middle
336,福建省,泉州市,丰泽区,泉秀街道泉淮社区,middle
337,福建省,泉州市,丰泽区,泉秀街道新秀社区,middle
338,福建省,泉州市,洛江区,万安街道首富商城,middle
339,福建省,泉州市,洛江区,万安街道吉源小区（20号楼除外）,middle
340,福建省,泉州市,洛江区,万安街道吉源雅苑1号楼,middle
341,福建省,泉州市,德化县,龙浔镇丁溪村,middle
342,福建省,泉州市,石狮市,墨蒲酒吧,middle
343,福建省,泉州市,石狮市,湖滨街道曾坑社区红日路5号鑫源公寓,middle
344,福建省,泉州市,石狮市,灵秀镇香江路1685-1687号栋楼,middle
345,福建省,泉州市,石狮市,祥芝镇后湖村大宏公司公寓四区,middle
346,福建省,泉州市,石狮市,锦尚镇厝上村五片区4号楼,middle
347,福建省,泉州市,晋江市,池店镇海丝景城A区,middle
348,福建省,泉州市,晋江市,池店镇百信御江帝景一期,middle
349,福建省,泉州市,晋江市,陈埭镇洋埭村,middle
350,福建省,泉州市,晋江市,池店镇清蒙村,middle
351,福建省,泉州市,晋江市,池店镇浯潭村,middle
352,福建省,泉州市,晋江市,池店镇赤塘村,middle
353,福建省,泉州市,晋江市,池店镇霞福村金福小区,middle
354,福建省,泉州市,晋江市,陈埭镇涵口村五四路17号,middle
355,福建省,泉州市,晋江市,池店镇新店村,middle
356,福建省,泉州市,晋江市,陈埭镇高坑村,middle
357,福建省,泉州市,晋江市,永和镇割山村,middle
358,江西省,南昌市,新建区,石岗镇界坛村,middle
359,江西省,南昌市,新建区,石岗镇田北村谌家老居,middle
360,江西省,南昌市,新建区,石岗镇长征路15号,middle
361,江西省,抚州市,南城县,G35济广高速鹰瑞段南城服务区,middle
362,山东省,威海市,威海火炬高技术产业开发区,仁和佳苑,middle
363,山东省,威海市,威海火炬高技术产业开发区,长春路昌鸿小区B区16号楼,middle
364,山东省,滨州市,惠民县,孙武街道办事处怡水龙城小区,middle
365,山东省,滨州市,阳信县,金阳街道办事处北八里村,middle
366,山东省,滨州市,阳信县,洋湖乡勃李村,middle
367,山东省,滨州市,邹平市,韩店镇上口村,middle
368,河南省,漯河市,临颍县,新城街道办事处辖区,middle
369,河南省,漯河市,临颍县,杜曲镇东徐庄村,middle
370,河南省,漯河市,临颍县,台陈镇台陈村,middle
371,河南省,周口市,太康县,城关镇建设路以西、交通路以南、原小铁路以东、谢安路以北合围地区,middle
372,河南省,周口市,太康县,城关镇建设路北段、福兴社区、原纱厂家属院合围地区,middle
373,湖南省,长沙市,天心区,新开铺街道天翔新新家园A栋,middle
374,湖南省,长沙市,天心区,城南路街道席草田巷2、3、5、7、9、11、13、15、17、19、20号，天心街1—11号、12-74号（双号），白沙街8号二单元，席草田巷1号含（萝卜白菜）经营场所，熙台岭巷41—45号（单号）、52-98号（双号），南福巷6-8号，里仁坡1—7号、11—37号、45号，城南西路93号（德雅村）—109号（好牙医华盛店）以南，里仁坡2—10号以北,middle
375,湖南省,长沙市,岳麓区,阳光100小区一期二期三期,middle
376,湖南省,长沙市,岳麓区,湖南大学信息科学与工程学院,middle
377,湖南省,长沙市,岳麓区,湖南大学三食堂,middle
378,湖南省,长沙市,雨花区,雅礼中学,middle
379,湖南省,长沙市,雨花区,中雅培粹学校,middle
380,湖南省,长沙市,雨花区,东塘街道枫树山社区,middle
381,湖南省,长沙市,雨花区,东塘街道现代华都小户型楼栋,middle
382,湖南省,长沙市,雨花区,左家塘街道天润花园2栋,middle
383,湖南省,衡阳市,衡东县,石滩乡石金村小泉屋组,middle
384,湖南省,怀化市,鹤城区,城中街道人民路小学,middle
385,湖南省,怀化市,鹤城区,城中街道舞水小学（本部）,middle
386,湖南省,怀化市,鹤城区,城中街道阳光华庭小区,middle
387,湖南省,怀化市,鹤城区,城中街道怀化大厦,middle
388,湖南省,怀化市,鹤城区,城中街道鸿福雅苑,middle
389,湖南省,怀化市,鹤城区,城南街道岳麓欧城依云堡,middle
390,湖南省,怀化市,鹤城区,城南街道岳麓青城一期,middle
391,湖南省,怀化市,鹤城区,河西街道花背村20组,middle
392,湖南省,怀化市,鹤城区,河西街道花背村23组,middle
393,广东省,肇庆市,高要区,金利镇永利工业园内永顺路1至35号连片区域,middle
394,广东省,肇庆市,高要区,金利镇罗客村,middle
395,广东省,东莞市,中堂镇,潢涌村工业路3号,middle
396,广东省,东莞市,高埗镇,北王路高埗段86号百茂物流园,middle
397,四川省,乐山市,犍为县,玉津镇罗城路众恒中央公园E区,middle
398,四川省,乐山市,犍为县,玉津镇麻柳路翠湖公园小区,middle
399,四川省,乐山市,犍为县,玉津镇滨江路东方花园小区,middle
